id,cipher,plain
420c8669-8a64-4e5e-940a-db6acb04ea59,lswrialewomlq bqojnw dyaltoms os wnp swedy ib wnp,astronautical flight dynamics is the study of the
51e24d04-fa5a-4b53-9945-1971ee42a79a,tpmnlaoms ib tlwprolqs os wnp zrlamn ib tpmnlaoms,mechanics of materials is the branch of mechanics
6655236f-a763-4f2a-868b-b247cccfc3f4,lormrlbw serkoklzoqowy os wnp lzoqowy ib la lormrl,aircraft survivability is the ability of an aircra
4f435fa4-8334-44cb-9ff8-14bb035b5705,mbd os l zrlamn ib bqeod tpmnlaoms wnlw esps aetpr,cfd is a branch of fluid mechanics that uses numer
6e8d36a4-ec03-467f-a622-52cf3aff6573,lormrlbw pajoaps lrp iap ib wnp tisw mrowomlq mitf,aircraft engines are one of the most critical comp
e75ad00b-77a9-4baf-96f4-eb023ab3bacb,qojnwcpojnw lormrlbw swremwerps lrp mrowomlq wi lm,lightweight aircraft structures are critical to ac
e6b767fe-44b8-4f32-84d7-d4213db55ec0,bqpgozqp lormrlbw lrp lormrlbw cown bqpgozqp swrem,flexible aircraft are aircraft with flexible struc
1540bab4-7ccb-45bb-80e6-f98ab7dd1b5d,aetpromlq tpwnids lrp wpmnaoueps espd wi siqkp fri,numerical methods are techniques used to solve pro
efc070bf-37e4-413e-b593-b2450077695a,qlsprs lrp dpkomps wnlw ptow qojnw wnriejn l frimp,lasers are devices that emit light through a proce
2eab4501-a523-49df-9015-0b79012a4f7a,l qleamn kpnomqp os l rimhpw wnlw os espd wi mlrry,a launch vehicle is a rocket that is used to carry
5b24d3bc-84ca-4550-ba5e-7b8f6cea7e10,l apc sflmpmrlbw cls bqojnw wpswpd. wnp ferfisp ib,a new spacecraft was flight tested. the purpose of
4fc289cf-0d48-4a66-a1c5-a0db25139844,dbt os l spw ib froamofqps lad frlmwomps wnlw mla,dfm is a set of principles and practices that can
62fcd18d-324b-413d-ab76-31b208b80ce9,lpridyaltoms os wnp swedy ib wnp tiwoia ib lor lad,aerodynamics is the study of the motion of air and
60c1a7c3-c465-404d-978e-2a40adc29563,lormrlbw fprbirtlamp os l mitfqpg wifom wnlw pamit,aircraft performance is a complex topic that encom
df1b5995-1fbe-4868-9013-c8178d4741c8,wnp dyaltoms ib swremwerps os wnp swedy ib wnp rps,the dynamics of structures is the study of the res
878963cd-2181-4a54-9b2b-f1cd4cd361dc,sflmpmrlbw syswpts pajoapproaj os wnp dosmofqoap i,spacecraft systems engineering is the discipline o
821999bd-0b15-4ccd-9b98-4e1a3f82ceae,lpripqlswomowy os wnp swedy ib wnp oawprlmwoia zpw,aeroelasticity is the study of the interaction bet
77ef1d1b-de6f-486e-b2fe-986b564bd72a,lawpaal os l tpwlq swremwerp wnlw miakprws pqpmwro,antenna is a metal structure that converts electri
998d4db7-bc94-40b2-a5f0-e4559eb053ec,lswrialewomlq pajoapproaj os wnp zrlamn ib pajoapp,astronautical engineering is the branch of enginee
dab4039a-06d8-4ea7-af7c-ed363b4c4ebd,tossoqp jeodlamp os wnp frimpss ib miawriqqoaj wnp,missile guidance is the process of controlling the
5eb1428a-1a36-4df3-94e3-f92d5610b0e4,lswrialewomlq syswpts pajoapproaj os wnp dosmofqoa,astronautical systems engineering is the disciplin
b27ed0ac-d7e3-4ba6-a8b6-deac0b528c07,bqojnw dyaltoms tidpqoaj os wnp frimpss ib dpkpqif,flight dynamics modeling is the process of develop
9da97612-aa67-46be-a8c4-2c937ecba90e,sflmpmrlbw tossoia fqlaaoaj os l mitfqpg lad mnlqq,spacecraft mission planning is a complex and chall
a0a23d13-3f2e-47ca-a61d-0a2da3a4547e,swlzoqowy lad miawriq lrp psspawolq bir wnp slbp l,stability and control are essential for the safe a
5805a553-72c8-4bb9-8cf3-7f78f75f256c,slbpwy lalqysos os l syswptlwom frimpss bir odpawo,safety analysis is a systematic process for identi
7462fe6a-68e0-485c-bd07-6c75f1d78fe0,wnresw kpmwir miawriq (wkm) os l tpwnid ib miawriq,thrust vector control (tvc) is a method of control
4efb2752-302c-4951-81b9-40f475d9ef0e,tpmnlaomlq pajoapproaj os l zrlamn ib pajoapproaj,mechanical engineering is a branch of engineering
074a4c0f-6550-457e-b4b2-2147170944e8,nyfprsiaom bqojnw os l bopqd ib lprialewoms wnlw d,hypersonic flight is a field of aeronautics that d
ddfeccba-dbc4-4551-ac76-1a83daa28613,coad weaapq wpswoaj os l mrowomlq wiiq bir wnp dpk,wind tunnel testing is a critical tool for the dev
442caae6-acd6-468b-bf06-e36d5a8b6aef,irzowlq tpmnlaoms os wnp swedy ib wnp tiwoia ib iz,orbital mechanics is the study of the motion of ob
b5ef53d4-0b35-47e9-983f-8e542048b4e0,kpnomqp dyaltoms os wnp swedy ib wnp tiwoia ib kpn,vehicle dynamics is the study of the motion of veh
5fdcec60-0694-4c71-b9a8-691a1193cbcf,bqojnw wpsw pajoapproaj os l sfpmolqoxpd bopqd wnl,flight test engineering is a specialized field tha
cc49e0a6-f323-45f3-bc37-0367b3a66166,swremwerlq lalqysos os wnp frimpss ib dpwprtoaoaj,structural analysis is the process of determining
abe01a18-31a3-41a2-bbcc-857fc06a8071,swremwerlq dyaltoms os wnp swedy ib wnp rpsfiasp i,structural dynamics is the study of the response o
8233c55f-636a-416d-99f1-d1d0e5ad6376,tossoqp bqojnw miawriq os wnp frimpss ib miawriqqo,missile flight control is the process of controlli
bdb6f847-58c8-4dec-a3ff-f89e22f1e6ae,lprisflmp tlaeblmweroaj os l mitfqpg lad mitfpwowo,aerospace manufacturing is a complex and competiti
d4f1dd1e-1a0a-4c03-9e4b-c82f1d232265,g-rlys lrp l wyfp ib pqpmwritljapwom rldolwoia cow,x-rays are a type of electromagnetic radiation wit
044cada9-7b3e-4b27-9576-9d6ce442e1a1,"qleamn kpnomqp jeodlamp, alkojlwoia, lad miawriq (","launch vehicle guidance, navigation, and control ("
f8e62682-59db-4ca8-b9b6-4fa236ca301c,lormrlbw mprwobomlwoia os wnp frimpss zy cnomn l j,aircraft certification is the process by which a g
33c1b044-1a32-4091-aebf-7628d48bed44,bqojnw wpswoaj os wnp frimpss ib pklqelwoaj wnp fp,flight testing is the process of evaluating the pe
966bb7ad-979c-41e9-96df-8cea53843155,lormrlbw aiosp os l tlvir siermp ib pakoriatpawlq,aircraft noise is a major source of environmental
8a3724e5-a0e5-41ce-9444-63a416c16f97,elks lrp oamrplsoajqy zpoaj espd bir l klropwy ib,uavs are increasingly being used for a variety of
af7b8f06-e25f-437b-bd60-f8c3aceaad1c,wnp lprisflmp oadeswry os iap ib wnp tisw slbpwy-m,the aerospace industry is one of the most safety-c
57d8677e-9f34-45ef-9bfc-f6dc9e96fb96,mbd os l aetpromlq tpwnid bir siqkoaj wnp puelwoia,cfd is a numerical method for solving the equation
a7fdeb32-6186-4d3f-8072-f41a338924f3,coad weaapq wpswoaj os l wpmnaouep espd wi swedy w,wind tunnel testing is a technique used to study t
ce83104d-ff76-4627-abdd-d60c755457f0,qleamn kpnomqps lrp espd wi wrlasfirw flyqilds oaw,launch vehicles are used to transport payloads int
a157882a-d458-49ca-ae4b-9465bebc6f8d,"jeodlamp, alkojlwoia, lad miawriq (jam) os l zrlam","guidance, navigation, and control (gnc) is a branc"
05d3ae3d-f825-442f-be03-1fff9b0df7a4,lormrlbw cpojnw lad zlqlamp os l mrowomlq lsfpmw i,aircraft weight and balance is a critical aspect o
19d86d63-7a7c-4982-b02a-ceb95604bb39,tossoia fqlaaoaj os l mrowomlq mitfiapaw ib lay se,mission planning is a critical component of any su
de8893f7-88b1-44a8-a9aa-483200f58098,lkolwoia slbpwy os l mrowomlq ossep bir wnp jqizlq,aviation safety is a critical issue for the global
f738898b-69b8-44e7-86be-f1bc8bb11df3,lprisflmp tpdomoap os l zrlamn ib tpdomoap wnlw dp,aerospace medicine is a branch of medicine that de
7e1744c4-a718-4fb1-9db1-c32c946cb4c3,lormrlbw swremwerlq nplqwn tiaowiroaj (snt) os l s,aircraft structural health monitoring (shm) is a s
2b9b1e32-5815-4829-bad9-20deddc09be4,nplw wrlasbpr os wnp tikptpaw ib wnprtlq paprjy br,heat transfer is the movement of thermal energy fr
7c7e93ed-a00d-4a6d-916f-21b542e8785b,tlwprolqs smopamp os wnp swedy ib wnp rpqlwoiasnof,materials science is the study of the relationship
2f38d42c-bce2-4e66-aeb2-8d4807f1479f,tpmnlaoms os wnp zrlamn ib fnysoms wnlw dplqs cown,mechanics is the branch of physics that deals with
bc2498c0-9955-407a-beaf-43374e488e42,pqpmwriaom clrblrp (pc) os l zrlamn ib toqowlry sm,electronic warfare (ew) is a branch of military sc
25992859-45ac-431c-a207-7a0f86a18046,jam os wnp smopamp ib miawriqqoaj wnp tiwoia ib l,gnc is the science of controlling the motion of a
fe3802b8-360f-4a84-8569-48971e5a503a,frifeqsoia os wnp frimpss ib jpaprlwoaj wnresw wi,propulsion is the process of generating thrust to
2d8d8753-d137-4cf0-97f5-edc245dc8c5e,mbd os l ficprbeq wiiq bir swedyoaj nyfprsiaom bqi,cfd is a powerful tool for studying hypersonic flo
f372e9df-cd85-44f7-94f2-171f86fdcfff,"els, lqsi haica ls driaps, lrp lormrlbw wnlw lrp b","uas, also known as drones, are aircraft that are f"
713aa492-a0e7-4f67-8ca8-8558a2cffe28,lormrlbw bqojnw miawriq syswpts lrp l mrowomlq mit,aircraft flight control systems are a critical com
76b66c09-ed81-4592-bfe1-e8892047d486,mbd os l zrlamn ib bqeod tpmnlaoms wnlw esps aetpr,cfd is a branch of fluid mechanics that uses numer
a592de47-cc45-4e1b-b660-efa2655c41c9,"mld/mlt os la psspawolq wiiq bir tlay oadeswrops,","cad/cam is an essential tool for many industries,"
3ac8928c-2e13-4390-beb4-8a36c861a1f0,lqss lrp syswpts wnlw frikodp psspawolq qobp-seswl,alss are systems that provide essential life-susta
a56b44cd-a628-42fe-8ac1-bad44a6a497e,alaiwpmnaiqijy os wnp swedy lad tlaofeqlwoia ib tl,nanotechnology is the study and manipulation of ma
03fd8258-3f7c-4ea9-874a-3ee18231b154,elk flyqilds lrp wnp pueoftpaw wnlw os mlrropd ia,uav payloads are the equipment that is carried on
f458f48c-da4c-476a-ba2c-0f945dca283a,l dyaltom syswpt os l syswpt cnisp swlwp pkiqkps i,a dynamic system is a system whose state evolves o
99319fcf-475e-4186-9bce-d7ea6308e1d6,wnp lwtisfnprp os l wnoa qlypr ib jlsps wnlw serri,the atmosphere is a thin layer of gases that surro
d2ec4fc2-3f5d-4673-b0df-cb255e62253e,lor wrlbbom miawriq (lwm) os l sprkomp frikodpd zy,air traffic control (atc) is a service provided by
d840b387-d1db-4c42-9fec-c56da5ca64b4,"elks, lqsi haica ls driaps, lrp lormrlbw wnlw lrp","uavs, also known as drones, are aircraft that are"
ea44db47-2f12-4a6f-8772-3ae1057ccaf4,l tossoqp os l jeodpd frivpmwoqp wnlw os frifpqqpd,a missile is a guided projectile that is propelled
a673c5ef-1fa4-4a3a-b246-c30edb14c039,lalqywomlq tpwnids lrp espd wi dpwprtoap wnp mitfi,analytical methods are used to determine the compo
304c1c18-56ab-47fb-8b98-a9005b83c246,soteqlwoia os wnp otowlwoia ib l rplq-cirqd frimps,simulation is the imitation of a real-world proces
bc751a93-cb16-4719-a15a-88d0eb232c72,wrlvpmwiry ifwotoxlwoia os la otfirwlaw flrw ib sf,trajectory optimization is an important part of sp
ff67ae0c-67d4-4c3d-bda3-e986775d7363,sflmpmrlbw tossoia dpsoja os wnp frimpss ib dpkpqi,spacecraft mission design is the process of develo
ebbbcf32-4420-436e-b229-a711ac20df61,lorcirwnoapss os wnp miadowoia ib la lormrlbw wnlw,airworthiness is the condition of an aircraft that
4433e5c0-318e-4fe4-8796-06c1026e003b,elks lrp lormrlbw wnlw lrp bqica cowniew l netla f,uavs are aircraft that are flown without a human p
89c036a5-d4b7-4e5e-8da0-5adfeb042ce5,miawriq wnpiry os wnp swedy ib nic wi dpsoja lad l,control theory is the study of how to design and a
29366fc7-0249-4f4b-a23a-56ce5147cff9,dpsoja ifwotoxlwoia os wnp frimpss ib boadoaj wnp,design optimization is the process of finding the
82a1335e-14ef-4d60-abd3-84a6a17bac06,fprbirtlamp frpdomwoia os wnp frimpss ib pswotlwoa,performance prediction is the process of estimatin
2d55bab9-d355-431e-9ee7-ac4a3d4147e1,kozrlwoia os l tpmnlaomlq ismoqqlwoia lziew la pue,vibration is a mechanical oscillation about an equ
327afad6-5a1f-42e9-942a-f2513d93bc8e,lormrlbw swremwerps lrp wnp mitfiapaws wnlw frikod,aircraft structures are the components that provid
202aa54d-a0ef-4de4-837b-0a1672ae5aa4,kozrlwoia os l tpmnlaomlq ismoqqlwoia wnlw rpfplws,vibration is a mechanical oscillation that repeats
ac01583b-99fc-40d0-86ff-5168938c1676,bqeod tpmnlaoms os wnp zrlamn ib fnysoms wnlw dplq,fluid mechanics is the branch of physics that deal
4b335fc2-a04d-4ea0-9e48-f0f980ca263f,l swremwerp os l miaswremwpd izvpmw wnlw nls l dpb,a structure is a constructed object that has a def
334b4aba-b08c-4e08-b228-db5b56627919,mpqpswolq tpmnlaoms os wnp swedy ib wnp tiwoia ib,celestial mechanics is the study of the motion of
68c279e6-a2ef-4317-b041-ec90b7226796,tossoqp frifeqsoia os wnp frimpss ib jpaprlwoaj wn,missile propulsion is the process of generating th
02c08df3-4898-4722-bc1b-324c4f6a1c3b,nyfprsiaom bqojnw os bqojnw lw sfppds jrplwpr wnla,hypersonic flight is flight at speeds greater than
