id,cipher,plain
afa7b37a-e2da-4efd-8671-1898b52f70d6,eht fo yduts eht si scimanyd thgilf lacituanortsa,astronautical flight dynamics is the study of the
0aee03aa-87a6-496a-b32b-9e5479638254,scinahcem fo hcnarb eht si slairetam fo scinahcem,mechanics of materials is the branch of mechanics
bc95e1ba-5168-4803-83a4-01a452c3724b,arcria na fo ytiliba eht si ytilibavivrus tfarcria,aircraft survivability is the ability of an aircra
da9af5ce-d26e-42a8-80e8-5b0b5041fa51,remun sesu taht scinahcem diulf fo hcnarb a si dfc,cfd is a branch of fluid mechanics that uses numer
a1d38b3f-6d0f-4df9-b74e-a4168eb1888c,pmoc lacitirc tsom eht fo eno era senigne tfarcria,aircraft engines are one of the most critical comp
22d8c3d9-1059-4387-bdcd-1d9acc4e78ff,ca ot lacitirc era serutcurts tfarcria thgiewthgil,lightweight aircraft structures are critical to ac
9a078534-3d22-47ac-90c4-88f5956d7dd7,curts elbixelf htiw tfarcria era tfarcria elbixelf,flexible aircraft are aircraft with flexible struc
ce65ece0-057c-41ea-980b-f22b62ce5b8a,orp evlos ot desu seuqinhcet era sdohtem laciremun,numerical methods are techniques used to solve pro
1608694a-259f-46e9-b6d2-9b59566c876e,ecorp a hguorht thgil time taht secived era sresal,lasers are devices that emit light through a proce
fb704aac-a686-46d6-871b-0248259c8c2a,yrrac ot desu si taht tekcor a si elcihev hcnual a,a launch vehicle is a rocket that is used to carry
0f1f7cd3-354b-4174-b4c2-4eb73cb9b96f,fo esoprup eht .detset thgilf saw tfarcecaps wen a,a new spacecraft was flight tested. the purpose of
7bf7d84d-fa20-420c-94ee-75b636ae8164,nac taht secitcarp dna selpicnirp fo tes a si mfd,dfm is a set of principles and practices that can
bcad1693-c52b-4800-b8b9-4f4a07548a7a,dna ria fo noitom eht fo yduts eht si scimanydorea,aerodynamics is the study of the motion of air and
282ca5be-e2b1-4936-a38c-c3c044488753,mocne taht cipot xelpmoc a si ecnamrofrep tfarcria,aircraft performance is a complex topic that encom
7b5c8500-1862-433a-bf6e-0d871329056f,ser eht fo yduts eht si serutcurts fo scimanyd eht,the dynamics of structures is the study of the res
e50578d2-a0f2-4cd6-a882-dfa6a1aecedd,o enilpicsid eht si gnireenigne smetsys tfarcecaps,spacecraft systems engineering is the discipline o
a77029c9-3ddf-40f4-94b0-d016190d05c7,teb noitcaretni eht fo yduts eht si yticitsaleorea,aeroelasticity is the study of the interaction bet
8d050533-6174-45e2-99cb-f94a6bdef2f5,irtcele strevnoc taht erutcurts latem a si annetna,antenna is a metal structure that converts electri
9277b60e-1fe3-4c59-9d4a-76e30cd00297,eenigne fo hcnarb eht si gnireenigne lacituanortsa,astronautical engineering is the branch of enginee
54490488-f0dd-4028-a6ff-8f5b2449ecbe,eht gnillortnoc fo ssecorp eht si ecnadiug elissim,missile guidance is the process of controlling the
a776239b-de47-4e11-9514-a0dbec6075f2,nilpicsid eht si gnireenigne smetsys lacituanortsa,astronautical systems engineering is the disciplin
d097a6ab-d63f-47fa-af46-5a9aac569bb2,poleved fo ssecorp eht si gniledom scimanyd thgilf,flight dynamics modeling is the process of develop
ed86f865-fade-4d2b-8b49-8db480fadb99,llahc dna xelpmoc a si gninnalp noissim tfarcecaps,spacecraft mission planning is a complex and chall
25c79713-3853-4884-bb11-ffd03b78defb,a efas eht rof laitnesse era lortnoc dna ytilibats,stability and control are essential for the safe a
3501c4f1-4e4f-4744-a2b7-ec73237b3af7,itnedi rof ssecorp citametsys a si sisylana ytefas,safety analysis is a systematic process for identi
c8f39d8d-1d5e-4058-ac1c-ed3f54495f78,lortnoc fo dohtem a si )cvt( lortnoc rotcev tsurht,thrust vector control (tvc) is a method of control
5b967830-9cc0-4057-a649-8bc33ae2e0cf,gnireenigne fo hcnarb a si gnireenigne lacinahcem,mechanical engineering is a branch of engineering
c3aa4492-0d1b-44a9-babb-c68822bd2c35,d taht scituanorea fo dleif a si thgilf cinosrepyh,hypersonic flight is a field of aeronautics that d
532eddb0-8148-4d96-9be1-1fe9499ff121,ved eht rof loot lacitirc a si gnitset lennut dniw,wind tunnel testing is a critical tool for the dev
fa679424-8ec1-4547-966a-5fde786ea49b,bo fo noitom eht fo yduts eht si scinahcem latibro,orbital mechanics is the study of the motion of ob
fc947e09-9045-45f2-85f3-97eff66c9f8e,hev fo noitom eht fo yduts eht si scimanyd elcihev,vehicle dynamics is the study of the motion of veh
8eb9bd17-7ad3-4ea7-b2b8-8953a10a3f61,aht dleif dezilaiceps a si gnireenigne tset thgilf,flight test engineering is a specialized field tha
7748c90c-1a9f-4550-9fd0-84f2d4bdfd91,gninimreted fo ssecorp eht si sisylana larutcurts,structural analysis is the process of determining
1e3755c5-fdd1-498a-8732-4bd19e48f17c,o esnopser eht fo yduts eht si scimanyd larutcurts,structural dynamics is the study of the response o
ad5af846-fbcb-424f-b382-a19ae8726aea,illortnoc fo ssecorp eht si lortnoc thgilf elissim,missile flight control is the process of controlli
31483b8b-fe8b-42f8-a820-5144d50a5a1d,ititepmoc dna xelpmoc a si gnirutcafunam ecapsorea,aerospace manufacturing is a complex and competiti
fbfb9b71-5091-4f72-83a5-c095111e5dad,tiw noitaidar citengamortcele fo epyt a era syar-x,x-rays are a type of electromagnetic radiation wit
ba7c89dd-718f-400d-bd28-1ad546a46973,"( lortnoc dna ,noitagivan ,ecnadiug elcihev hcnual","launch vehicle guidance, navigation, and control ("
06145cae-d6ce-434b-8f30-a32fb8b668a1,g a hcihw yb ssecorp eht si noitacifitrec tfarcria,aircraft certification is the process by which a g
bca0f90b-74cf-4e10-9a5d-b56ba5129df4,ep eht gnitaulave fo ssecorp eht si gnitset thgilf,flight testing is the process of evaluating the pe
42f9fe95-9857-47d6-95a1-b7abc0c9322b,latnemnorivne fo ecruos rojam a si esion tfarcria,aircraft noise is a major source of environmental
0f1049a2-64b8-42c3-bd46-8154e3995cc4,fo yteirav a rof desu gnieb ylgnisaercni era svau,uavs are increasingly being used for a variety of
7f03d5f3-61f9-45ab-b532-42a71ebc460d,c-ytefas tsom eht fo eno si yrtsudni ecapsorea eht,the aerospace industry is one of the most safety-c
9c7ad992-ce24-4fb0-862b-83b11cabdabb,noitauqe eht gnivlos rof dohtem laciremun a si dfc,cfd is a numerical method for solving the equation
1ed1fe6b-0bf1-4b77-b75f-611d27efe1d1,t yduts ot desu euqinhcet a si gnitset lennut dniw,wind tunnel testing is a technique used to study t
76a999e5-edf1-4679-ac9b-8eb9ebdd5056,tni sdaolyap tropsnart ot desu era selcihev hcnual,launch vehicles are used to transport payloads int
84571b6d-daa2-4562-9eca-e6157ec693f9,"cnarb a si )cng( lortnoc dna ,noitagivan ,ecnadiug","guidance, navigation, and control (gnc) is a branc"
6ef4257c-14a0-46ed-b1ba-fc3d1263aa13,o tcepsa lacitirc a si ecnalab dna thgiew tfarcria,aircraft weight and balance is a critical aspect o
ec5117c4-55cd-45bc-be8f-0d979dd22729,us yna fo tnenopmoc lacitirc a si gninnalp noissim,mission planning is a critical component of any su
87804b2e-2429-484c-9f45-80bec9594fdd,labolg eht rof eussi lacitirc a si ytefas noitaiva,aviation safety is a critical issue for the global
9dce11d3-a4f1-40a3-89b4-0f3fdefdf23b,ed taht enicidem fo hcnarb a si enicidem ecapsorea,aerospace medicine is a branch of medicine that de
9928b4e0-6609-4f69-a374-9cf353c2f93d,s a si )mhs( gnirotinom htlaeh larutcurts tfarcria,aircraft structural health monitoring (shm) is a s
4f4a3f06-c2ef-4cdf-870b-47e4e4155d52,rf ygrene lamreht fo tnemevom eht si refsnart taeh,heat transfer is the movement of thermal energy fr
a7ec8fa1-3b9c-4444-afe7-4409730c02b9,pihsnoitaler eht fo yduts eht si ecneics slairetam,materials science is the study of the relationship
52a0e8b7-fc52-4b38-a2cb-f60b6f8eef69,htiw slaed taht scisyhp fo hcnarb eht si scinahcem,mechanics is the branch of physics that deals with
55f39fd6-d8db-4a14-ad65-699640dbc374,cs yratilim fo hcnarb a si )we( erafraw cinortcele,electronic warfare (ew) is a branch of military sc
324cecf4-dee1-4fe2-8152-3bc0391993a8,a fo noitom eht gnillortnoc fo ecneics eht si cng,gnc is the science of controlling the motion of a
ee7c32c3-3661-42e3-9902-47311b9ef281,ot tsurht gnitareneg fo ssecorp eht si noisluporp,propulsion is the process of generating thrust to
df071059-21e5-4e07-bbfa-64583d768009,olf cinosrepyh gniyduts rof loot lufrewop a si dfc,cfd is a powerful tool for studying hypersonic flo
794d370e-6192-4c0f-bcad-4e7d785db943,"f era taht tfarcria era ,senord sa nwonk osla ,sau","uas, also known as drones, are aircraft that are f"
fbe12197-eeff-46bf-8def-d7fb8281bac6,moc lacitirc a era smetsys lortnoc thgilf tfarcria,aircraft flight control systems are a critical com
0751259e-1702-4ac3-bcbc-9d39ca5a4dd6,remun sesu taht scinahcem diulf fo hcnarb a si dfc,cfd is a branch of fluid mechanics that uses numer
373b64ef-e772-4c48-8bf3-4ab2e1737eb7,",seirtsudni ynam rof loot laitnesse na si mac/dac","cad/cam is an essential tool for many industries,"
d981e5a7-1b32-450a-92d7-ea1c81d72769,atsus-efil laitnesse edivorp taht smetsys era ssla,alss are systems that provide essential life-susta
007627f6-c197-490a-be99-3531f7d118b0,am fo noitalupinam dna yduts eht si ygolonhcetonan,nanotechnology is the study and manipulation of ma
80e154d7-9b1b-46c1-bf52-03e0f3af2da7,no deirrac si taht tnempiuqe eht era sdaolyap vau,uav payloads are the equipment that is carried on
204367ac-685e-400e-b126-67e05c982f77,o sevlove etats esohw metsys a si metsys cimanyd a,a dynamic system is a system whose state evolves o
ded55df0-d36d-473a-ae43-70ab5e6c5993,orrus taht sesag fo reyal niht a si erehpsomta eht,the atmosphere is a thin layer of gases that surro
c67fcd52-2d53-4e9f-ac03-766dd2aeb47c,yb dedivorp ecivres a si )cta( lortnoc ciffart ria,air traffic control (atc) is a service provided by
4196979b-3ae3-47ae-bc56-f3ea61defeb0,"era taht tfarcria era ,senord sa nwonk osla ,svau","uavs, also known as drones, are aircraft that are"
1f64b369-ed37-4b21-a9c7-283981ab1da5,delleporp si taht elitcejorp dediug a si elissim a,a missile is a guided projectile that is propelled
5f731780-884e-428d-bd8a-c40b0716a109,opmoc eht enimreted ot desu era sdohtem lacitylana,analytical methods are used to determine the compo
ba76fe5d-0222-4c7d-aeb2-bfb1b6c18887,secorp dlrow-laer a fo noitatimi eht si noitalumis,simulation is the imitation of a real-world proces
53f8ab63-c8f6-4cff-8078-52134726f5a6,ps fo trap tnatropmi na si noitazimitpo yrotcejart,trajectory optimization is an important part of sp
54064416-b65e-45ef-954c-5da07b5780f4,oleved fo ssecorp eht si ngised noissim tfarcecaps,spacecraft mission design is the process of develo
db685ec1-5f4b-4ca6-a1c6-f25c088fb9db,taht tfarcria na fo noitidnoc eht si ssenihtrowria,airworthiness is the condition of an aircraft that
942fd1f3-aba9-48b7-8185-f8ecb92a0eb9,p namuh a tuohtiw nwolf era taht tfarcria era svau,uavs are aircraft that are flown without a human p
5c57b8c3-590d-496e-ac97-7cc94087b620,a dna ngised ot woh fo yduts eht si yroeht lortnoc,control theory is the study of how to design and a
7f74444a-5ca0-4382-a56e-40d059c366f5,eht gnidnif fo ssecorp eht si noitazimitpo ngised,design optimization is the process of finding the
7f4ce2d0-1965-40e7-b881-11201cacc4e4,nitamitse fo ssecorp eht si noitciderp ecnamrofrep,performance prediction is the process of estimatin
e48ebc2b-fe6e-4fe9-9099-591cbcfc42d9,uqe na tuoba noitallicso lacinahcem a si noitarbiv,vibration is a mechanical oscillation about an equ
138da258-a13e-45cb-a915-410119441506,divorp taht stnenopmoc eht era serutcurts tfarcria,aircraft structures are the components that provid
b531a200-327f-4c22-a0df-b34405d38244,staeper taht noitallicso lacinahcem a si noitarbiv,vibration is a mechanical oscillation that repeats
f9da88b0-4550-4da3-b65e-4ba2eeeabd55,laed taht scisyhp fo hcnarb eht si scinahcem diulf,fluid mechanics is the branch of physics that deal
81f505b0-4bdd-43ca-9657-50a253e00ec4,fed a sah taht tcejbo detcurtsnoc a si erutcurts a,a structure is a constructed object that has a def
e2cac8cf-5ed9-4575-9de6-748d299ea284,fo noitom eht fo yduts eht si scinahcem laitselec,celestial mechanics is the study of the motion of
d8a2ff02-e733-49af-a411-2612f4d4e0bc,ht gnitareneg fo ssecorp eht si noisluporp elissim,missile propulsion is the process of generating th
952cd135-b364-4d61-8e00-d7a7885e7341,naht retaerg sdeeps ta thgilf si thgilf cinosrepyh,hypersonic flight is flight at speeds greater than
d31b6543-dd4c-41c3-8577-039e5ea3b797,nac dna tfarcria ot drazah suoires a si gninthgil,lightning is a serious hazard to aircraft and can
bff159e6-3e96-4976-9117-d8808c3e283c,cerid fo ecneics eht si )c&g( lortnoc dna ecnadiug,guidance and control (g&c) is the science of direc
f5532944-6a44-4013-9ca5-813df987ddab,w slaed taht scisyhp fo hcnarb a si scimanydomreht,thermodynamics is a branch of physics that deals w
d4410891-3865-452a-9acc-8c00c63e9501,farcria eht fo trap lativ a si gnitset lennut dniw,wind tunnel testing is a vital part of the aircraf
fc656d1d-dc14-463b-804b-976aa4778bc3,tom eht fo yduts eht si tfarcecaps fo scimanyd eht,the dynamics of spacecraft is the study of the mot
55ca1d53-6a34-4f0c-bec8-1611f3a9abc4,ned eht hcihw ni wolf diulf a si wolf elbisserpmoc,compressible flow is a fluid flow in which the den
93e071c5-4cda-4ef1-97bb-a3303b624390,neserper detareneg-retupmoc a si noitalumis thgilf,flight simulation is a computer-generated represen
89e20065-e255-4a11-a39d-886ff587ac5a,efas rof laitnesse era smetsys noitagivan tfarcria,aircraft navigation systems are essential for safe
c2905618-cb06-40b6-88a9-1dab04b82fdf,a si )odm( noitazimitpo ngised yranilpicsid-itlum,multi-disciplinary design optimization (mdo) is a
2c6867c6-8314-40ff-85b7-457f8974a932,moc fo ssecorp eht si noitargetni smetsys tfarcria,aircraft systems integration is the process of com
9ee64afd-ba6a-43df-a8bb-931ae0c22b7a,ahc si taht wolf diulf fo epyt a si wolf tnelubrut,turbulent flow is a type of fluid flow that is cha
184c92e7-43e2-46b7-a97a-43ff04143ad8,srucco taht thgilf fo epyt a si thgilf cinosrepyh,hypersonic flight is a type of flight that occurs
ae09ce4a-0d57-4e0e-bd2b-f3d1d076166a,sti dna erehpsomta eht fo yduts eht si ygoloroetem,meteorology is the study of the atmosphere and its
14ab1ac7-6ac5-4cee-a82e-b548be4a3d23,a wen a gnitaerc fo ssecorp eht si ngised tfarcria,aircraft design is the process of creating a new a
efb2dfea-08b9-47a9-8b9a-c81c20dd9d9f,w slaed taht gnireenigne fo hcnarb eht si scitobor,robotics is the branch of engineering that deals w
db93f500-d25d-4b04-94c0-1c027b976a89,slaed taht scisyhp fo hcnarb eht si scimanydomreht,thermodynamics is the branch of physics that deals
d059177f-7956-4618-bd75-62afcb8432c5,wteb noitcaretni eht fo yduts eht si scitsuocaorea,aeroacoustics is the study of the interaction betw
771a1dc8-35e2-42ba-b7ad-9d7ca062f617,empoleved eht fo trap lacitirc a si gnitset thgilf,flight testing is a critical part of the developme
f38feb25-3448-4fb5-8250-21a6f1edf05f,ted ot sevaw oidar sesu taht ygolonhcet a si radar,radar is a technology that uses radio waves to det
7627c66c-3e3c-4ca6-bdbb-5c6fb11d36ae,ps a gnilleporp fo dohtem a si noisluporp cirtcele,electric propulsion is a method of propelling a sp
53425860-d0d2-431d-9208-8a82bbaa00cf,ta levart taht stcejbo fo yduts eht si scinosrepyh,hypersonics is the study of objects that travel at
ad1aba65-64e7-4604-9cef-bdfe6fbad2aa,no tcapmi tnacifingis a evah nac seitivitca namuh,human activities can have a significant impact on
aac95e35-fc5f-4d9e-8214-07e82a6d6e70,ecudorp ot dengised ydob denilmaerts a si liofria,airfoil is a streamlined body designed to produce
2986d321-4857-47f2-96b3-d7b56232e73e,sat mrofrep ot ygolonhcet fo esu eht si noitamotua,automation is the use of technology to perform tas
18080b83-21d0-425b-a38a-69b98ee1d7db,na fo tnenopmoc lacitirc a era slairetam ecapsorea,aerospace materials are a critical component of an
b4b70af8-9ab2-4c73-967f-9dfaf39b515a,"nidulcni ,seitreporp tnereffid ynam evah slairetam","materials have many different properties, includin"
40d0770e-255f-49f5-a8ef-3d7274538be8,"si )cng( lortnoc dna ,noitagivan ,ecnadiug elissim","missile guidance, navigation, and control (gnc) is"
2e7591c1-08b8-4f3c-b6e2-9e88bfb177cb,i taht euqinhcet ngised a si gniroliat citsaleorea,aeroelastic tailoring is a design technique that i
146b1435-cd99-41df-9211-96da2c734a08,f lanoitatupmoc fo hcnarb a si gniledom ecnelubrut,turbulence modeling is a branch of computational f
069e8084-d9eb-4e54-9df3-4f15df0d9b6f,alp fo ssecorp eht si ngised noissim lacituanortsa,astronautical mission design is the process of pla
5b456a02-af3e-4054-8320-7155277ac61f,delleporp era taht selitcejorp dediug era selissim,missiles are guided projectiles that are propelled
