id,cipher,plain
fcffd654-c149-431b-a1d1-e759d711a286,eht fo yduts eht si scimanyd thgilf lacituanortsa,astronautical flight dynamics is the study of the
2e7b8f6c-0823-4d13-86ce-bc3347c13fef,scinahcem fo hcnarb eht si slairetam fo scinahcem,mechanics of materials is the branch of mechanics
98535958-500e-40b9-9dd5-3504270f6a8f,arcria na fo ytiliba eht si ytilibavivrus tfarcria,aircraft survivability is the ability of an aircra
b0758f08-efee-4587-9c73-8d13e1bf3989,remun sesu taht scinahcem diulf fo hcnarb a si dfc,cfd is a branch of fluid mechanics that uses numer
115fe367-50c2-447a-8b2c-7757c1cfa519,pmoc lacitirc tsom eht fo eno era senigne tfarcria,aircraft engines are one of the most critical comp
df6923e0-2a44-47fb-b831-b85c30861e9e,ca ot lacitirc era serutcurts tfarcria thgiewthgil,lightweight aircraft structures are critical to ac
57216e2d-f159-4fb2-a39f-c830c9a9f792,curts elbixelf htiw tfarcria era tfarcria elbixelf,flexible aircraft are aircraft with flexible struc
2cdcf595-baf4-4817-8d3b-aee936615746,orp evlos ot desu seuqinhcet era sdohtem laciremun,numerical methods are techniques used to solve pro
4d14e952-9f6f-49c2-a62e-3153bc92ecf3,ecorp a hguorht thgil time taht secived era sresal,lasers are devices that emit light through a proce
8541092f-f2da-44f3-8c66-4429aaa18980,yrrac ot desu si taht tekcor a si elcihev hcnual a,a launch vehicle is a rocket that is used to carry
deb8683b-16f8-4ab4-8289-524a510936e4,fo esoprup eht .detset thgilf saw tfarcecaps wen a,a new spacecraft was flight tested. the purpose of
f1c34b37-559c-4623-9016-e9501f263c31,nac taht secitcarp dna selpicnirp fo tes a si mfd,dfm is a set of principles and practices that can
bf180211-4e35-4e54-8be4-c7a01dcaeb48,dna ria fo noitom eht fo yduts eht si scimanydorea,aerodynamics is the study of the motion of air and
3be5e5f1-9869-4c7a-9e0a-a2ff9b5de427,mocne taht cipot xelpmoc a si ecnamrofrep tfarcria,aircraft performance is a complex topic that encom
241ca61c-72b3-4c8e-af26-ca8e30fb4374,ser eht fo yduts eht si serutcurts fo scimanyd eht,the dynamics of structures is the study of the res
fb3482b9-6c8f-49ff-aeff-54bab8b57f9b,o enilpicsid eht si gnireenigne smetsys tfarcecaps,spacecraft systems engineering is the discipline o
971c12bd-40f4-4bd9-bb34-db66e132b316,teb noitcaretni eht fo yduts eht si yticitsaleorea,aeroelasticity is the study of the interaction bet
5b72c863-2aec-4afd-a79d-9961731aaf07,irtcele strevnoc taht erutcurts latem a si annetna,antenna is a metal structure that converts electri
53e7e6f7-8e25-4bb1-8f93-fb84de533066,eenigne fo hcnarb eht si gnireenigne lacituanortsa,astronautical engineering is the branch of enginee
4cc6a592-ad17-425f-a168-1a5a27f7ab09,eht gnillortnoc fo ssecorp eht si ecnadiug elissim,missile guidance is the process of controlling the
272ff261-5437-4bbe-85c5-9f0d001997dd,nilpicsid eht si gnireenigne smetsys lacituanortsa,astronautical systems engineering is the disciplin
4928f30a-86d6-4ff2-8911-23a3bd4217e5,poleved fo ssecorp eht si gniledom scimanyd thgilf,flight dynamics modeling is the process of develop
62161371-49ce-4cbe-b6c1-cff9f9efe620,llahc dna xelpmoc a si gninnalp noissim tfarcecaps,spacecraft mission planning is a complex and chall
d992317a-0851-414b-927f-1a17bc546c43,a efas eht rof laitnesse era lortnoc dna ytilibats,stability and control are essential for the safe a
203051ec-ba9e-42e3-a53b-4a8fee6690da,itnedi rof ssecorp citametsys a si sisylana ytefas,safety analysis is a systematic process for identi
93b7fd52-d03a-4b27-9c08-7fc13a82bd98,lortnoc fo dohtem a si )cvt( lortnoc rotcev tsurht,thrust vector control (tvc) is a method of control
640b8a9b-b1fc-4a7b-bc13-d8a2d27ad086,gnireenigne fo hcnarb a si gnireenigne lacinahcem,mechanical engineering is a branch of engineering
a1755668-3d51-4e3f-82f3-0a75a7f4125b,d taht scituanorea fo dleif a si thgilf cinosrepyh,hypersonic flight is a field of aeronautics that d
d074f9b9-5cdf-47a9-b153-f0c8dae1c116,ved eht rof loot lacitirc a si gnitset lennut dniw,wind tunnel testing is a critical tool for the dev
3336c2fb-cc8e-4525-a285-9bbe3dc29429,bo fo noitom eht fo yduts eht si scinahcem latibro,orbital mechanics is the study of the motion of ob
6a618d6a-390d-44ea-b79e-a16801fcb6e4,hev fo noitom eht fo yduts eht si scimanyd elcihev,vehicle dynamics is the study of the motion of veh
07f31b95-3afc-4a5a-aa99-226c42bcab1d,aht dleif dezilaiceps a si gnireenigne tset thgilf,flight test engineering is a specialized field tha
1d850b23-9841-479c-8361-0f088d5d2ef9,gninimreted fo ssecorp eht si sisylana larutcurts,structural analysis is the process of determining
c77188fb-6e21-4e29-9530-57aab0f66682,o esnopser eht fo yduts eht si scimanyd larutcurts,structural dynamics is the study of the response o
0ed19dd6-4b25-4ba8-8f55-a85567412c91,illortnoc fo ssecorp eht si lortnoc thgilf elissim,missile flight control is the process of controlli
11052ebc-3b37-4f48-8cfc-7700359abcd8,ititepmoc dna xelpmoc a si gnirutcafunam ecapsorea,aerospace manufacturing is a complex and competiti
b3018326-5db1-47c3-aaf4-978b12d9e66d,tiw noitaidar citengamortcele fo epyt a era syar-x,x-rays are a type of electromagnetic radiation wit
0518b4f5-b59e-46b2-b47d-64da88aa18f2,"( lortnoc dna ,noitagivan ,ecnadiug elcihev hcnual","launch vehicle guidance, navigation, and control ("
a398015f-0446-473a-9632-167a61cd1c5f,g a hcihw yb ssecorp eht si noitacifitrec tfarcria,aircraft certification is the process by which a g
d03b9ebc-38b4-4735-a9d6-ca0c0c720d1b,ep eht gnitaulave fo ssecorp eht si gnitset thgilf,flight testing is the process of evaluating the pe
04dcf3c8-6dad-4a50-a70c-9ee437dad50a,latnemnorivne fo ecruos rojam a si esion tfarcria,aircraft noise is a major source of environmental
f37e6a6d-25df-469a-9eec-1442032ffda3,fo yteirav a rof desu gnieb ylgnisaercni era svau,uavs are increasingly being used for a variety of
2d3ea2c5-201b-4182-9ecd-f8249ea6c2cd,c-ytefas tsom eht fo eno si yrtsudni ecapsorea eht,the aerospace industry is one of the most safety-c
e0c37504-53a9-4ceb-a164-00c14ceb26d9,noitauqe eht gnivlos rof dohtem laciremun a si dfc,cfd is a numerical method for solving the equation
76fb1a5e-bd48-41d7-850a-00d5dda6bb0e,t yduts ot desu euqinhcet a si gnitset lennut dniw,wind tunnel testing is a technique used to study t
93835184-bdba-494e-a940-ee82c5a32e46,tni sdaolyap tropsnart ot desu era selcihev hcnual,launch vehicles are used to transport payloads int
9e494a5c-78dd-4865-8991-a52d075b7b17,"cnarb a si )cng( lortnoc dna ,noitagivan ,ecnadiug","guidance, navigation, and control (gnc) is a branc"
