id,cipher,plain
ff24cde8-65f2-4f54-b720-c4e257c02604,xpqolkxrqfzxi cifdeq avkxjfzp fp qeb pqrav lc qeb,astronautical flight dynamics is the study of the
c8af3145-afec-4076-ba29-e81d461350ea,jbzexkfzp lc jxqbofxip fp qeb yoxkze lc jbzexkfzp,mechanics of materials is the branch of mechanics
63eb96d8-868b-4ad4-a4a1-d039ec204b38,xfozoxcq prosfsxyfifqv fp qeb xyfifqv lc xk xfozox,aircraft survivability is the ability of an aircra
ec09a8c9-02ee-4aa6-b71f-f6254055cfa4,zca fp x yoxkze lc cirfa jbzexkfzp qexq rpbp krjbo,cfd is a branch of fluid mechanics that uses numer
a76c77e7-561b-4e10-919d-c0bac0d74e6b,xfozoxcq bkdfkbp xob lkb lc qeb jlpq zofqfzxi zljm,aircraft engines are one of the most critical comp
404f6a67-6ec8-4515-9e98-773d8214d87a,ifdeqtbfdeq xfozoxcq pqorzqrobp xob zofqfzxi ql xz,lightweight aircraft structures are critical to ac
e8f36970-7d84-4364-8eab-35acb9db3804,cibufyib xfozoxcq xob xfozoxcq tfqe cibufyib pqorz,flexible aircraft are aircraft with flexible struc
ff7a42e0-1433-4396-be34-282b59a555c6,krjbofzxi jbqelap xob qbzekfnrbp rpba ql plisb mol,numerical methods are techniques used to solve pro
9ed15e67-0562-4a8f-97f3-00144a1b7dc1,ixpbop xob absfzbp qexq bjfq ifdeq qeolrde x molzb,lasers are devices that emit light through a proce
6d4bb35a-3060-4cc2-9403-ae292138349a,x ixrkze sbefzib fp x olzhbq qexq fp rpba ql zxoov,a launch vehicle is a rocket that is used to carry
10a87512-affb-42bc-a672-7fe68a6e81da,x kbt pmxzbzoxcq txp cifdeq qbpqba. qeb mromlpb lc,a new spacecraft was flight tested. the purpose of
87ff63bc-6b78-4676-b908-fc747bd8b306,acj fp x pbq lc mofkzfmibp xka moxzqfzbp qexq zxk,dfm is a set of principles and practices that can
337486af-535f-4aae-ac6b-206e13f31612,xbolavkxjfzp fp qeb pqrav lc qeb jlqflk lc xfo xka,aerodynamics is the study of the motion of air and
3a311983-c0bb-45de-ad9b-01e183598600,xfozoxcq mboclojxkzb fp x zljmibu qlmfz qexq bkzlj,aircraft performance is a complex topic that encom
8bd8d602-da6e-4732-bd01-c12d9e1459f3,qeb avkxjfzp lc pqorzqrobp fp qeb pqrav lc qeb obp,the dynamics of structures is the study of the res
c1cfa267-c524-4f23-9daa-8b606b33a3d6,pmxzbzoxcq pvpqbjp bkdfkbbofkd fp qeb afpzfmifkb l,spacecraft systems engineering is the discipline o
6623949e-d605-4b11-8d17-a0103f7815f6,xbolbixpqfzfqv fp qeb pqrav lc qeb fkqboxzqflk ybq,aeroelasticity is the study of the interaction bet
7e1ca6f0-0e1a-44d6-b928-90ae0e4ecdf9,xkqbkkx fp x jbqxi pqorzqrob qexq zlksboqp bibzqof,antenna is a metal structure that converts electri
aaf90e4a-6abf-4ab1-8d34-f7e58f103fbc,xpqolkxrqfzxi bkdfkbbofkd fp qeb yoxkze lc bkdfkbb,astronautical engineering is the branch of enginee
da3cf7cd-f093-4df3-bffe-9bfc9808e4ca,jfppfib drfaxkzb fp qeb molzbpp lc zlkqoliifkd qeb,missile guidance is the process of controlling the
