id,cipher,plain
c805c953-8752-439f-a6a4-2ff4c8b7f084,abojsdacoyfak tkynlo uzdavyfb yb olq bocuz st olq,astronautical flight dynamics is the study of the
24632207-fd26-46aa-8294-f0098bbe5bed,vqfladyfb st vaoqjyakb yb olq ejadfl st vqfladyfb,mechanics of materials is the branch of mechanics
5416bba4-f546-4430-88c7-8e5e4e889656,ayjfjato bcjxyxaeykyoz yb olq aeykyoz st ad ayjfja,aircraft survivability is the ability of an aircra
8588c96b-7639-4167-9881-4fe7036a07e2,ftu yb a ejadfl st tkcyu vqfladyfb olao cbqb dcvqj,cfd is a branch of fluid mechanics that uses numer
74590ee2-30ec-480a-b38c-51c773a07d18,ayjfjato qdnydqb ajq sdq st olq vsbo fjyoyfak fsvi,aircraft engines are one of the most critical comp
cb8e89ed-0cc9-460d-941c-97689c5a0747,kynlorqynlo ayjfjato bojcfocjqb ajq fjyoyfak os af,lightweight aircraft structures are critical to ac
ac213f78-9a1c-4fa8-9605-9403b07215f5,tkqgyekq ayjfjato ajq ayjfjato ryol tkqgyekq bojcf,flexible aircraft are aircraft with flexible struc
dba6c5f6-b76d-4d39-ba45-5878a02e357b,dcvqjyfak vqolsub ajq oqfldyhcqb cbqu os bskxq ijs,numerical methods are techniques used to solve pro
63dab1f1-2149-4912-9546-ac1b349a7dac,kabqjb ajq uqxyfqb olao qvyo kynlo oljscnl a ijsfq,lasers are devices that emit light through a proce
820be433-d099-420e-be59-f41097620729,a kacdfl xqlyfkq yb a jsfwqo olao yb cbqu os fajjz,a launch vehicle is a rocket that is used to carry
5d83967f-9854-46e3-96e3-02b96e5f203b,a dqr biafqfjato rab tkynlo oqboqu. olq icjisbq st,a new spacecraft was flight tested. the purpose of
f93d9bd2-7f9a-41d6-8371-9a2ae59da52e,utv yb a bqo st ijydfyikqb adu ijafoyfqb olao fad,dfm is a set of principles and practices that can
7e06decc-b5be-4b57-8415-35371d18c551,aqjsuzdavyfb yb olq bocuz st olq vsoysd st ayj adu,aerodynamics is the study of the motion of air and
2c710bcb-9483-4be4-9501-d4abe9077c60,ayjfjato iqjtsjvadfq yb a fsvikqg osiyf olao qdfsv,aircraft performance is a complex topic that encom
7ee06797-43c1-46ab-b9d6-64b18f1916c6,olq uzdavyfb st bojcfocjqb yb olq bocuz st olq jqb,the dynamics of structures is the study of the res
7a2eb25e-13d0-4bb9-b0e1-55792313bd51,biafqfjato bzboqvb qdnydqqjydn yb olq uybfyikydq s,spacecraft systems engineering is the discipline o
3a0e4a5f-c268-4131-95ed-6737289711c6,aqjsqkaboyfyoz yb olq bocuz st olq ydoqjafoysd eqo,aeroelasticity is the study of the interaction bet
12bd1f35-a6bb-49a5-abdc-5e362ce71f44,adoqdda yb a vqoak bojcfocjq olao fsdxqjob qkqfojy,antenna is a metal structure that converts electri
c210c885-9225-4d41-a16d-2870e4d798bc,abojsdacoyfak qdnydqqjydn yb olq ejadfl st qdnydqq,astronautical engineering is the branch of enginee
cf2a9674-9436-48a5-9e33-7fbe3389db3a,vybbykq ncyuadfq yb olq ijsfqbb st fsdojskkydn olq,missile guidance is the process of controlling the
1d0e5fb6-8925-4649-9956-1a043c8d7f47,abojsdacoyfak bzboqvb qdnydqqjydn yb olq uybfyikyd,astronautical systems engineering is the disciplin
d26608c7-c7f1-485d-a36e-7ccfa9442773,tkynlo uzdavyfb vsuqkydn yb olq ijsfqbb st uqxqksi,flight dynamics modeling is the process of develop
e010bc28-cb82-43e4-9477-4566da1bf7d4,biafqfjato vybbysd ikaddydn yb a fsvikqg adu flakk,spacecraft mission planning is a complex and chall
